"black" "native" "asian" "islander" "multiple" "hispanic" "white"
"1" 13 1 7 0 2 31 48
"2" 5 2 1 0 1 49 45
"3" 2 1 1 0 1 84 13
"4" 4 1 1 0 2 19 75
"5" 17 1 1 0 2 18 63
